season,jurisdiction,total_burden,inside_burden,outside_burden,outside_fraction,age_group,age_group_label,metric_label
2024-2025,Minnesota,1551.0,1449.0,102.0,0.06576402321083172,rsv_ped_total,All pediatric,"Pediatric RSV hospital admissions, all pediatric"
2024-2025,Mississippi,588.0,554.0,34.0,0.05782312925170068,rsv_ped_total,All pediatric,"Pediatric RSV hospital admissions, all pediatric"
2024-2025,Missouri,1286.0,1152.0,134.0,0.104199066874028,rsv_ped_total,All pediatric,"Pediatric RSV hospital admissions, all pediatric"
2024-2025,Montana,339.0,285.0,54.0,0.1592920353982301,rsv_ped_total,All pediatric,"Pediatric RSV hospital admissions, all pediatric"
2024-2025,Nebraska,622.0,575.0,47.0,0.07556270096463022,rsv_ped_total,All pediatric,"Pediatric RSV hospital admissions, all pediatric"
2024-2025,Nevada,718.0,685.0,33.0,0.04596100278551532,rsv_ped_total,All pediatric,"Pediatric RSV hospital admissions, all pediatric"
2024-2025,New Hampshire,223.0,214.0,9.0,0.04035874439461883,rsv_ped_total,All pediatric,"Pediatric RSV hospital admissions, all pediatric"
2024-2025,New Jersey,2355.0,2271.0,84.0,0.035668789808917196,rsv_ped_total,All pediatric,"Pediatric RSV hospital admissions, all pediatric"
2024-2025,New Mexico,1029.0,973.0,56.0,0.05442176870748299,rsv_ped_total,All pediatric,"Pediatric RSV hospital admissions, all pediatric"
2024-2025,New York,4911.0,4689.0,222.0,0.04520464263897373,rsv_ped_total,All pediatric,"Pediatric RSV hospital admissions, all pediatric"
2024-2025,North Carolina,2197.0,2077.0,120.0,0.05461993627674101,rsv_ped_total,All pediatric,"Pediatric RSV hospital admissions, all pediatric"
2024-2025,North Dakota,276.0,239.0,37.0,0.13405797101449277,rsv_ped_total,All pediatric,"Pediatric RSV hospital admissions, all pediatric"
2024-2025,Ohio,3669.0,3486.0,183.0,0.04987735077677841,rsv_ped_total,All pediatric,"Pediatric RSV hospital admissions, all pediatric"
2024-2025,Oklahoma,799.0,776.0,23.0,0.028785982478097622,rsv_ped_total,All pediatric,"Pediatric RSV hospital admissions, all pediatric"
2024-2025,Oregon,864.0,822.0,42.0,0.04861111111111111,rsv_ped_total,All pediatric,"Pediatric RSV hospital admissions, all pediatric"
2024-2025,Pennsylvania,4473.0,4216.0,257.0,0.05745584618824055,rsv_ped_total,All pediatric,"Pediatric RSV hospital admissions, all pediatric"
2024-2025,Rhode Island,337.0,329.0,8.0,0.02373887240356083,rsv_ped_total,All pediatric,"Pediatric RSV hospital admissions, all pediatric"
2024-2025,South Carolina,971.0,917.0,54.0,0.055612770339855816,rsv_ped_total,All pediatric,"Pediatric RSV hospital admissions, all pediatric"
2024-2025,South Dakota,293.0,243.0,50.0,0.17064846416382254,rsv_ped_total,All pediatric,"Pediatric RSV hospital admissions, all pediatric"
2024-2025,Tennessee,1753.0,1671.0,82.0,0.04677695379349686,rsv_ped_total,All pediatric,"Pediatric RSV hospital admissions, all pediatric"
2024-2025,Texas,8362.0,8044.0,318.0,0.03802917962209998,rsv_ped_total,All pediatric,"Pediatric RSV hospital admissions, all pediatric"
2024-2025,Utah,1693.0,1594.0,99.0,0.05847607796810396,rsv_ped_total,All pediatric,"Pediatric RSV hospital admissions, all pediatric"
2024-2025,Vermont,68.0,62.0,6.0,0.08823529411764706,rsv_ped_total,All pediatric,"Pediatric RSV hospital admissions, all pediatric"
2024-2025,Virginia,847.0,809.0,38.0,0.0448642266824085,rsv_ped_total,All pediatric,"Pediatric RSV hospital admissions, all pediatric"
2024-2025,Washington,652.0,609.0,43.0,0.06595092024539877,rsv_ped_total,All pediatric,"Pediatric RSV hospital admissions, all pediatric"
2024-2025,West Virginia,727.0,632.0,95.0,0.13067400275103164,rsv_ped_total,All pediatric,"Pediatric RSV hospital admissions, all pediatric"
2024-2025,Wisconsin,1052.0,985.0,67.0,0.06368821292775666,rsv_ped_total,All pediatric,"Pediatric RSV hospital admissions, all pediatric"
2024-2025,Wyoming,297.0,264.0,33.0,0.1111111111111111,rsv_ped_total,All pediatric,"Pediatric RSV hospital admissions, all pediatric"
2025-2026,Alabama,790.0,707.0,83.0,0.10506329113924051,rsv_ped_total,All pediatric,"Pediatric RSV hospital admissions, all pediatric"
2025-2026,Alaska,89.0,71.0,18.0,0.20224719101123595,rsv_ped_total,All pediatric,"Pediatric RSV hospital admissions, all pediatric"
2025-2026,Arizona,747.0,646.0,101.0,0.13520749665327977,rsv_ped_total,All pediatric,"Pediatric RSV hospital admissions, all pediatric"
2025-2026,Arkansas,657.0,611.0,46.0,0.0700152207001522,rsv_ped_total,All pediatric,"Pediatric RSV hospital admissions, all pediatric"
2025-2026,California,3386.0,3021.0,365.0,0.10779681039574719,rsv_ped_total,All pediatric,"Pediatric RSV hospital admissions, all pediatric"
2025-2026,Colorado,1575.0,1438.0,137.0,0.08698412698412698,rsv_ped_total,All pediatric,"Pediatric RSV hospital admissions, all pediatric"
2025-2026,Connecticut,434.0,405.0,29.0,0.06682027649769585,rsv_ped_total,All pediatric,"Pediatric RSV hospital admissions, all pediatric"
2025-2026,Delaware,431.0,426.0,5.0,0.01160092807424594,rsv_ped_total,All pediatric,"Pediatric RSV hospital admissions, all pediatric"
2025-2026,District of Columbia,10.0,9.0,1.0,0.1,rsv_ped_total,All pediatric,"Pediatric RSV hospital admissions, all pediatric"
2025-2026,Florida,4085.0,3388.0,697.0,0.17062423500611995,rsv_ped_total,All pediatric,"Pediatric RSV hospital admissions, all pediatric"
2025-2026,Georgia,2060.0,1907.0,153.0,0.07427184466019418,rsv_ped_total,All pediatric,"Pediatric RSV hospital admissions, all pediatric"
2025-2026,Hawaii,223.0,200.0,23.0,0.1031390134529148,rsv_ped_total,All pediatric,"Pediatric RSV hospital admissions, all pediatric"
2025-2026,Idaho,290.0,270.0,20.0,0.06896551724137931,rsv_ped_total,All pediatric,"Pediatric RSV hospital admissions, all pediatric"
2025-2026,Illinois,1653.0,1506.0,147.0,0.08892921960072596,rsv_ped_total,All pediatric,"Pediatric RSV hospital admissions, all pediatric"
2025-2026,Indiana,1022.0,922.0,100.0,0.09784735812133072,rsv_ped_total,All pediatric,"Pediatric RSV hospital admissions, all pediatric"
2025-2026,Iowa,580.0,519.0,61.0,0.10517241379310345,rsv_ped_total,All pediatric,"Pediatric RSV hospital admissions, all pediatric"
2025-2026,Kansas,434.0,394.0,40.0,0.09216589861751152,rsv_ped_total,All pediatric,"Pediatric RSV hospital admissions, all pediatric"
2025-2026,Kentucky,519.0,470.0,49.0,0.09441233140655106,rsv_ped_total,All pediatric,"Pediatric RSV hospital admissions, all pediatric"
2025-2026,Louisiana,1182.0,1128.0,54.0,0.04568527918781726,rsv_ped_total,All pediatric,"Pediatric RSV hospital admissions, all pediatric"
2025-2026,Maine,64.0,55.0,9.0,0.140625,rsv_ped_total,All pediatric,"Pediatric RSV hospital admissions, all pediatric"
2025-2026,Maryland,603.0,565.0,38.0,0.06301824212271974,rsv_ped_total,All pediatric,"Pediatric RSV hospital admissions, all pediatric"
2025-2026,Massachusetts,1319.0,1160.0,159.0,0.12054586808188021,rsv_ped_total,All pediatric,"Pediatric RSV hospital admissions, all pediatric"
2025-2026,Michigan,1471.0,1286.0,185.0,0.1257647858599592,rsv_ped_total,All pediatric,"Pediatric RSV hospital admissions, all pediatric"
2025-2026,Minnesota,1182.0,1045.0,137.0,0.11590524534686972,rsv_ped_total,All pediatric,"Pediatric RSV hospital admissions, all pediatric"
2025-2026,Mississippi,452.0,441.0,11.0,0.024336283185840708,rsv_ped_total,All pediatric,"Pediatric RSV hospital admissions, all pediatric"
2025-2026,Missouri,727.0,658.0,69.0,0.09491059147180192,rsv_ped_total,All pediatric,"Pediatric RSV hospital admissions, all pediatric"
