week_end,jurisdiction,rsv_ped_total,rsv_total,rsv_ped_0_4,season,in_fixed_window,state_abbrev,hhs_region,is_southeast,is_comparator
2024-08-10,Idaho,0.0,0.0,,2024-2025,False,ID,10,False,False
2024-08-10,Connecticut,0.0,0.0,,2024-2025,False,CT,1,False,False
2024-08-10,Iowa,0.0,0.0,,2024-2025,False,IA,7,False,False
2024-08-10,North Dakota,0.0,0.0,,2024-2025,False,ND,8,False,False
2024-08-10,New Jersey,,,,2024-2025,False,NJ,2,False,False
2024-08-10,New Mexico,,,,2024-2025,False,NM,6,False,False
2024-08-10,Oregon,,,,2024-2025,False,OR,10,False,False
2024-08-10,Mississippi,0.0,0.0,,2024-2025,False,MS,4,True,False
2024-08-10,North Carolina,,,,2024-2025,False,NC,4,True,False
2024-08-10,California,1.0,1.0,,2024-2025,False,CA,9,False,False
2024-08-10,Montana,0.0,0.0,,2024-2025,False,MT,8,False,False
2024-08-10,Texas,0.0,0.0,,2024-2025,False,TX,6,False,False
2024-08-10,Wisconsin,0.0,0.0,,2024-2025,False,WI,5,False,False
2024-08-10,Alabama,0.0,0.0,,2024-2025,False,AL,4,True,False
2024-08-10,Colorado,0.0,0.0,,2024-2025,False,CO,8,False,False
2024-08-10,Rhode Island,,,,2024-2025,False,RI,1,False,False
2024-08-10,Arkansas,0.0,0.0,,2024-2025,False,AR,6,True,False
2024-08-10,Louisiana,0.0,0.0,,2024-2025,False,LA,6,True,False
2024-08-10,South Dakota,0.0,0.0,,2024-2025,False,SD,8,False,False
2024-08-10,New York,0.0,0.0,,2024-2025,False,NY,2,False,True
2024-08-10,Illinois,0.0,0.0,,2024-2025,False,IL,5,False,False
2024-08-10,West Virginia,,,,2024-2025,False,WV,3,False,False
2024-08-17,Nebraska,0.0,0.0,,2024-2025,False,NE,7,False,False
2024-08-17,Oklahoma,0.0,0.0,,2024-2025,False,OK,6,False,False
2024-08-17,Pennsylvania,0.0,0.0,,2024-2025,False,PA,3,False,False
2024-08-17,Vermont,,,,2024-2025,False,VT,1,False,False
2024-08-17,Hawaii,0.0,0.0,,2024-2025,False,HI,9,False,False
2024-08-17,Massachusetts,,,,2024-2025,False,MA,1,False,False
2024-08-17,Maryland,,,,2024-2025,False,MD,3,False,False
2024-08-17,Maine,,,,2024-2025,False,ME,1,False,False
2024-08-17,Florida,0.0,0.0,,2024-2025,False,FL,4,False,False
2024-08-17,Michigan,0.0,0.0,,2024-2025,False,MI,5,False,False
2024-08-17,New Hampshire,,,,2024-2025,False,NH,1,False,False
2024-08-17,South Carolina,0.0,0.0,,2024-2025,False,SC,4,True,False
2024-08-17,Tennessee,,,,2024-2025,False,TN,4,True,False
2024-08-17,Utah,,,,2024-2025,False,UT,8,False,False
2024-08-17,Alaska,,,,2024-2025,False,AK,10,False,False
2024-08-17,Arizona,0.0,0.0,,2024-2025,False,AZ,9,False,False
2024-08-17,Kentucky,0.0,0.0,,2024-2025,False,KY,4,False,False
2024-08-17,Indiana,0.0,0.0,,2024-2025,False,IN,5,False,False
2024-08-17,Delaware,0.0,0.0,,2024-2025,False,DE,3,False,False
2024-08-17,Ohio,0.0,0.0,,2024-2025,False,OH,5,False,False
2024-08-17,Virginia,0.0,0.0,,2024-2025,False,VA,3,False,False
2024-08-17,District of Columbia,,,,2024-2025,False,DC,3,False,False
2024-08-17,Kansas,0.0,0.0,,2024-2025,False,KS,7,False,False
2024-08-17,Wyoming,0.0,0.0,,2024-2025,False,WY,8,False,False
2024-08-17,Nevada,,,,2024-2025,False,NV,9,False,False
2024-08-17,Washington,1.0,1.0,,2024-2025,False,WA,10,False,False
2024-08-17,Georgia,0.0,0.0,,2024-2025,False,GA,4,True,False
2024-08-17,Minnesota,,,,2024-2025,False,MN,5,False,True
2024-08-17,Missouri,0.0,0.0,,2024-2025,False,MO,7,False,False
2024-08-17,Idaho,0.0,0.0,,2024-2025,False,ID,10,False,False
2024-08-17,Connecticut,0.0,0.0,,2024-2025,False,CT,1,False,False
2024-08-17,Iowa,0.0,0.0,,2024-2025,False,IA,7,False,False
2024-08-17,North Dakota,0.0,0.0,,2024-2025,False,ND,8,False,False
2024-08-17,New Jersey,,,,2024-2025,False,NJ,2,False,False
2024-08-17,New Mexico,,,,2024-2025,False,NM,6,False,False
2024-08-17,Oregon,,,,2024-2025,False,OR,10,False,False
2024-08-17,Mississippi,0.0,0.0,,2024-2025,False,MS,4,True,False
2024-08-17,North Carolina,,,,2024-2025,False,NC,4,True,False
2024-08-17,California,0.0,0.0,,2024-2025,False,CA,9,False,False
2024-08-17,Montana,0.0,0.0,,2024-2025,False,MT,8,False,False
2024-08-17,Texas,0.0,0.0,,2024-2025,False,TX,6,False,False
2024-08-17,Wisconsin,,,,2024-2025,False,WI,5,False,False
2024-08-17,Alabama,0.0,0.0,,2024-2025,False,AL,4,True,False
2024-08-17,Colorado,0.0,0.0,,2024-2025,False,CO,8,False,False
2024-08-17,Rhode Island,,,,2024-2025,False,RI,1,False,False
2024-08-17,Arkansas,0.0,0.0,,2024-2025,False,AR,6,True,False
2024-08-17,Louisiana,0.0,0.0,,2024-2025,False,LA,6,True,False
2024-08-17,South Dakota,0.0,0.0,,2024-2025,False,SD,8,False,False
2024-08-17,New York,0.0,0.0,,2024-2025,False,NY,2,False,True
2024-08-17,Illinois,0.0,0.0,,2024-2025,False,IL,5,False,False
2024-08-17,West Virginia,,,,2024-2025,False,WV,3,False,False
2024-08-24,Nebraska,0.0,0.0,,2024-2025,False,NE,7,False,False
2024-08-24,Oklahoma,0.0,0.0,,2024-2025,False,OK,6,False,False
2024-08-24,Pennsylvania,0.0,0.0,,2024-2025,False,PA,3,False,False
2024-08-24,Vermont,,,,2024-2025,False,VT,1,False,False
2024-08-24,Hawaii,0.0,0.0,,2024-2025,False,HI,9,False,False
2024-08-24,Massachusetts,,,,2024-2025,False,MA,1,False,False
2024-08-24,Maryland,,,,2024-2025,False,MD,3,False,False
2024-08-24,Maine,,,,2024-2025,False,ME,1,False,False
2024-08-24,Florida,0.0,0.0,,2024-2025,False,FL,4,False,False
2024-08-24,Michigan,0.0,0.0,,2024-2025,False,MI,5,False,False
2024-08-24,New Hampshire,,,,2024-2025,False,NH,1,False,False
2024-08-24,South Carolina,0.0,0.0,,2024-2025,False,SC,4,True,False
2024-08-24,Tennessee,,,,2024-2025,False,TN,4,True,False
2024-08-24,Utah,,,,2024-2025,False,UT,8,False,False
2024-08-24,Alaska,,,,2024-2025,False,AK,10,False,False
2024-08-24,Arizona,0.0,1.0,,2024-2025,False,AZ,9,False,False
2024-08-24,Kentucky,0.0,0.0,,2024-2025,False,KY,4,False,False
2024-08-24,Indiana,0.0,0.0,,2024-2025,False,IN,5,False,False
