week_end,jurisdiction,rsv_pct,rsv_pct_smoothed,covid_pct,flu_pct,combined_pct,season,in_fixed_window,state_abbrev,hhs_region,is_southeast,is_comparator
2023-07-15,Wyoming,0.0,0.0,0.64,0.0,0.64,2023-2024,False,WY,8,False,False
2023-07-15,Colorado,0.0,0.01,0.48,0.06,0.55,2023-2024,False,CO,8,False,False
2023-07-15,Arizona,0.01,0.01,0.89,0.31,1.19,2023-2024,False,AZ,9,False,False
2023-07-15,Connecticut,0.0,0.0,0.46,0.06,0.52,2023-2024,False,CT,1,False,False
2023-07-15,Alabama,0.04,0.03,0.91,0.15,1.1,2023-2024,False,AL,4,True,False
2023-07-15,Alaska,0.01,0.01,1.67,0.22,1.89,2023-2024,False,AK,10,False,False
2023-07-15,Arkansas,0.03,0.02,0.39,0.12,0.54,2023-2024,False,AR,6,True,False
2023-07-15,Delaware,0.02,0.02,0.6,0.05,0.66,2023-2024,False,DE,3,False,False
2023-07-15,District of Columbia,0.03,0.03,0.48,0.08,0.58,2023-2024,False,DC,3,False,False
2023-07-15,Hawaii,0.0,0.02,2.17,0.82,2.96,2023-2024,False,HI,9,False,False
2023-07-15,Idaho,0.02,0.01,0.4,0.06,0.49,2023-2024,False,ID,10,False,False
2023-07-15,Indiana,0.01,0.01,0.33,0.03,0.37,2023-2024,False,IN,5,False,False
2023-07-15,Iowa,0.03,0.03,0.9,0.18,1.09,2023-2024,False,IA,7,False,False
2023-07-15,New Jersey,0.01,0.01,0.43,0.07,0.5,2023-2024,False,NJ,2,False,False
2023-07-15,Oklahoma,0.0,0.01,0.25,0.04,0.29,2023-2024,False,OK,6,False,False
2023-07-15,Pennsylvania,0.01,0.01,0.33,0.05,0.38,2023-2024,False,PA,3,False,False
2023-07-15,Rhode Island,0.02,0.01,0.34,0.09,0.45,2023-2024,False,RI,1,False,False
2023-07-15,South Dakota,0.0,0.0,0.22,0.02,,2023-2024,False,SD,8,False,False
2023-07-15,Texas,0.05,0.05,0.77,0.21,1.02,2023-2024,False,TX,6,False,False
2023-07-15,Virginia,0.02,0.02,0.62,0.11,0.73,2023-2024,False,VA,3,False,False
2023-07-15,California,0.01,0.01,0.81,0.1,0.92,2023-2024,False,CA,9,False,False
2023-07-15,Florida,0.1,0.09,1.75,0.66,2.48,2023-2024,False,FL,4,False,False
2023-07-15,Georgia,0.02,0.03,0.56,0.17,0.74,2023-2024,False,GA,4,True,False
2023-07-15,Kentucky,0.02,0.03,0.43,0.1,0.54,2023-2024,False,KY,4,False,False
2023-07-15,Maine,0.0,0.0,0.59,0.03,0.61,2023-2024,False,ME,1,False,False
2023-07-15,Michigan,0.01,0.01,0.36,0.05,0.41,2023-2024,False,MI,5,False,False
2023-07-15,Mississippi,0.02,0.02,0.71,0.23,0.94,2023-2024,False,MS,4,True,False
